,r_fighter,b_fighter,r_odds,b_odds,r_ev,b_ev,date,winner,title_bout,weight_class,gender,no_of_rounds,b_current_lose_streak,b_current_win_streak,b_draw,b_avg_sig_str_landed,b_avg_sig_str_pct,b_avg_sub_att,b_avg_td_landed,b_avg_td_pct,b_longest_win_streak,b_losses,b_total_rounds_fought,b_total_title_bouts,b_win_by_decision_majority,b_win_by_decision_split,b_win_by_decision_unanimous,b_win_by_ko_tko,b_win_by_submission,b_win_by_tko_doctor_stoppage,b_wins,b_stance,b_height_cms,b_reach_cms,b_weight_lbs,r_current_lose_streak,r_current_win_streak,r_draw,r_avg_sig_str_landed,r_avg_sig_str_pct,r_avg_sub_att,r_avg_td_landed,r_avg_td_pct,r_longest_win_streak,r_losses,r_total_rounds_fought,r_total_title_bouts,r_win_by_decision_majority,r_win_by_decision_split,r_win_by_decision_unanimous,r_win_by_ko_tko,r_win_by_submission,r_win_by_tko_doctor_stoppage,r_wins,r_stance,r_height_cms,r_reach_cms,r_weight_lbs,r_age,b_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,b_match_weightclass_rank,r_match_weightclass_rank,r_womens_flyweight_rank,r_womens_featherweight_rank,r_womens_strawweight_rank,r_womens_bantamweight_rank,r_heavyweight_rank,r_light_heavyweight_rank,r_middleweight_rank,r_welterweight_rank,r_lightweight_rank,r_featherweight_rank,r_bantamweight_rank,r_flyweight_rank,r_pound_for_pound_rank,b_womens_flyweight_rank,b_womens_featherweight_rank,b_womens_strawweight_rank,b_womens_bantamweight_rank,b_heavyweight_rank,b_light_heavyweight_rank,b_middleweight_rank,b_welterweight_rank,b_lightweight_rank,b_featherweight_rank,b_bantamweight_rank,b_flyweight_rank,b_pound_for_pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,city,region,country
13,Nick Diaz,Robbie Lawler,140,-160,140.0,62.5,2021-09-25,Blue,False,Middleweight,MALE,3,4,0,0,3.73,0.46,0.0,0.66,0.64,5,14,91,5,0,3,4,12,0,0,19,Southpaw,180.34,187.96,170,2,0,0,5.71,0.42,1.0,1.28,0.32,11,7,70,2,0,1,2,10,6,0,19,Southpaw,185.42,193.04,170,38,39,2,0,-6,0,7,21,3,2,-6,-5.0800000000000125,-5.079999999999984,1,-1.98,-1.0,-0.62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3,0:44,644,275,225,800,2500,650,185,Las Vegas,Nevada,USA
12,Valentina Shevchenko,Lauren Murphy,-1375,800,7.272727272727272,800.0,2021-09-25,Red,True,Women's Flyweight,FEMALE,5,0,5,0,3.58,0.38,0.1,1.03,0.34,5,4,32,0,0,3,1,2,1,0,7,Orthodox,165.1,170.18,125,0,7,0,3.21,0.52,0.3,2.62,0.64,7,2,42,7,0,1,4,3,2,0,10,Southpaw,165.1,167.64,125,33,38,0,-2,-2,-3,2,-10,-7,-1,-1,0.0,2.539999999999992,5,0.3700000000000001,-0.1999999999999999,-1.59,1,3,0,0,,,,,,,,,,,,2,3,,,,,,,,,,,,13,Red,KO/TKO,Punches,4,4:00,1140,200,1800,350,2800,-110,2500,Las Vegas,Nevada,USA
15,Jessica Andrade,Cynthia Calvillo,-220,180,45.45454545454545,180.0,2021-09-25,Red,False,Women's Flyweight,FEMALE,3,1,0,1,4.24,0.41,1.1,1.77,0.44,3,2,25,0,0,0,3,0,3,0,6,Orthodox,162.56,162.56,125,1,0,0,6.24,0.5,0.4,2.9,0.55,4,7,42,4,0,1,5,4,2,0,12,Orthodox,154.94,157.48,125,30,34,0,0,-1,-6,-5,-17,-4,-4,1,7.620000000000003,5.0800000000000125,4,-2.0,0.7000000000000001,-1.13,1,5,1,1,,,,,,,,,,,,6,5,,,,,,,,,,,,,Red,KO/TKO,Punches,1,4:54,294,140,330,1000,900,225,1400,Las Vegas,Nevada,USA
31,Pannie Kianzad,Raquel Pennington,115,-135,115.0,74.07407407407408,2021-09-18,Blue,False,Women's Bantamweight,FEMALE,3,0,1,0,3.59,0.49,0.7,1.11,0.28,4,5,38,1,0,2,4,0,2,0,8,Orthodox,170.18,170.18,135,0,4,0,5.34,0.49,0.1,0.31,0.22,4,2,17,0,0,0,4,0,0,0,4,Orthodox,170.18,167.64,135,29,33,0,-3,0,4,3,21,1,0,2,0.0,2.539999999999992,4,-1.75,0.6,0.8,1,,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,175,110,1600,850,800,1200,Las Vegas,Nevada,USA
36,Emily Whitmire,Hannah Goldy,-125,105,80.0,105.0,2021-09-18,Blue,False,Women's Flyweight,FEMALE,3,2,0,0,6.05,0.47,0.3,0.61,0.33,1,2,9,0,0,0,1,0,0,0,1,Orthodox,162.56,154.94,125,2,0,0,2.5,0.31,0.5,1.9,0.66,2,3,8,0,0,0,1,0,1,0,2,Orthodox,165.1,160.02,125,30,29,0,0,-1,-1,-1,1,0,0,-1,-2.539999999999992,-5.0800000000000125,-1,3.55,-0.2,-1.29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1,4:17,257,120,180,800,1100,1400,700,Las Vegas,Nevada,USA
35,Impa Kasanganay,Carlston Harris,-105,-115,95.23809523809524,86.95652173913044,2021-09-18,Blue,False,Welterweight,MALE,3,0,1,0,5.27,0.49,2.7,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,182.88,193.04,170,0,1,0,4.96,0.48,0.2,1.75,0.58,3,1,13,0,0,0,3,0,1,0,4,Orthodox,180.34,190.5,170,27,34,0,0,-2,-3,-1,-12,0,0,0,2.539999999999992,2.539999999999992,7,0.3099999999999996,2.5,-1.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,2:38,158,175,400,1100,250,450,600,Las Vegas,Nevada,USA
34,Erin Blanchfield,Sarah Alpar,-435,330,22.988505747126435,330.0,2021-09-18,Red,False,Women's Flyweight,FEMALE,3,1,0,0,2.36,0.44,0.4,1.61,0.26,1,1,5,0,0,0,0,0,1,0,1,Southpaw,162.56,160.02,135,0,0,0,8.0,0.57,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,167.64,135,22,30,1,0,1,1,1,5,0,0,1,0.0,-7.620000000000003,8,-5.640000000000001,0.4,-1.39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,100,500,450,1400,330,1600,Las Vegas,Nevada,USA
33,Montel Jackson,JP Buys,-630,450,15.873015873015872,450.0,2021-09-18,Red,False,Bantamweight,MALE,3,1,0,0,1.76,0.43,2.5,1.7,0.3,1,2,5,0,0,0,0,0,1,0,1,Orthodox,165.1,170.18,135,0,1,0,3.42,0.55,0.3,4.13,0.78,3,2,17,0,0,0,2,2,1,0,5,Southpaw,177.8,190.5,135,29,25,1,-1,-2,-4,0,-12,0,-2,0,-12.700000000000015,-20.32,-4,-1.66,2.2,-2.43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,215,800,400,1600,100,1800,Las Vegas,Nevada,USA
32,Rong Zhu,Brandon Jenkins,,195,,195.0,2021-09-18,Red,False,Lightweight,MALE,3,0,0,0,2.81,0.39,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,180.34,155,1,0,0,4.33,0.53,0.0,4.56,0.75,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,21,29,-1,0,0,0,-1,-3,0,0,0,7.620000000000003,0.0,8,-1.52,0.0,-4.56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3,4:35,875,,500,,1600,,450,Las Vegas,Nevada,USA
29,Joaquin Buckley,Antonio Arroyo,-180,155,55.55555555555556,155.0,2021-09-18,Red,False,Middleweight,MALE,3,2,0,0,2.82,0.66,0.2,1.14,0.41,2,2,11,0,0,0,1,0,1,0,2,Orthodox,190.5,185.42,185,1,0,0,4.16,0.37,0.0,0.8,0.16,2,2,8,0,0,0,0,2,0,0,2,Southpaw,177.8,193.04,185,27,32,1,0,0,0,0,3,0,-2,1,12.699999999999989,-7.619999999999976,5,-1.3400000000000003,0.2,0.3399999999999998,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3,2:26,746,380,600,1800,500,110,450,Las Vegas,Nevada,USA
30,Mike Rodriguez,Tafon Nchukwi,105,-125,105.0,80.0,2021-09-18,Blue,False,Light Heavyweight,MALE,3,1,0,0,6.56,0.53,0.0,1.15,0.57,2,1,8,0,0,0,1,1,0,0,2,Orthodox,182.88,195.58,205,2,0,0,4.35,0.53,0.0,0.0,0.0,1,4,15,0,0,0,0,3,0,0,3,Southpaw,193.04,208.28,205,32,26,-1,0,1,-1,-3,-7,0,-2,0,-10.159999999999997,-12.699999999999989,-6,2.21,0.0,1.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,275,400,1600,1600,300,165,Las Vegas,Nevada,USA
